pruid,prename,prfname,week_end,product_name,numtotal_atleast1dose,numtotal_partially,numtotal_fully,prop_atleast1dose,prop_partially,prop_fully,V12,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Pfizer-BioNTech Comirnaty,1785,1785,0,0.34,0.34,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Pfizer-BioNTech Comirnaty,1146,1146,0,0.72,0.72,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Pfizer-BioNTech Comirnaty,2218,2218,0,0.23,0.23,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-12-26,Pfizer-BioNTech Comirnaty,2606,2606,0,0.33,0.33,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2020-12-26,Pfizer-BioNTech Comirnaty,17216,17216,0,0.20,0.20,0.00,,,,,
24,Quebec,Québec,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2020-12-26,Pfizer-BioNTech Comirnaty,2177,2177,0,0.16,0.16,0.00,,,,,
46,Manitoba,Manitoba,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-26,Pfizer-BioNTech Comirnaty,1769,1769,0,0.15,0.15,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2020-12-26,Pfizer-BioNTech Comirnaty,4792,4792,0,0.11,0.11,0.00,,,,,
48,Alberta,Alberta,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-26,Pfizer-BioNTech Comirnaty,12444,12444,0,0.24,0.24,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-26,Unknown,3,3,0,<0.01,<0.01,0.00,,,,,
60,Yukon,Yukon,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2020-12-26,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-26,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-26,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2021-01-02,Moderna Spikevax,1778,1778,0,0.01,0.01,0.00,,,,,
1,Canada,Canada,2021-01-02,Not reported,13383,13383,0,0.06,0.06,0.00,,,,,
1,Canada,Canada,2021-01-02,Pfizer-BioNTech Comirnaty,67350,67350,0,0.29,0.29,0.00,,,,,
1,Canada,Canada,2021-01-02,Unknown,1,1,0,<0.01,<0.01,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-02,Pfizer-BioNTech Comirnaty,1785,1785,0,"","",0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-02,Pfizer-BioNTech Comirnaty,1669,1669,0,"","",0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-02,Pfizer-BioNTech Comirnaty,2720,2720,0,"","",0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-02,Pfizer-BioNTech Comirnaty,2886,2886,0,"","",0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2021-01-02,Moderna Spikevax,0,0,,0.00,0.00,"",,,,,
24,Quebec,Québec,2021-01-02,Not reported,0,0,,0.00,0.00,"",,,,,
24,Quebec,Québec,2021-01-02,Pfizer-BioNTech Comirnaty,28305,28305,,"","","",,,,,
24,Quebec,Québec,2021-01-02,Unknown,0,0,,0.00,0.00,"",,,,,
46,Manitoba,Manitoba,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2021-01-02,Pfizer-BioNTech Comirnaty,3432,3432,0,"","",0.00,,,,,
46,Manitoba,Manitoba,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-02,Pfizer-BioNTech Comirnaty,3540,3540,0,"","",0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2021-01-02,Not reported,13383,13383,0,"","",0.00,,,,,
48,Alberta,Alberta,2021-01-02,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-02,Moderna Spikevax,1656,1656,0,"","",0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-02,Pfizer-BioNTech Comirnaty,23013,23013,0,"","",0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-02,Unknown,1,1,0,"","",0.00,,,,,
60,Yukon,Yukon,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2021-01-02,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-02,Moderna Spikevax,122,122,0,"","",0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-02,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-02,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-02,Not reported,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-02,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-02,Unknown,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2021-01-09,Moderna Spikevax,46739,46739,0,0.20,0.20,0.00,,,,,
1,Canada,Canada,2021-01-09,Not reported,6241,6241,0,0.03,0.03,0.00,,,,,
1,Canada,Canada,2021-01-09,Pfizer-BioNTech Comirnaty,164340,159819,4521,0.70,0.68,0.02,,,,,
1,Canada,Canada,2021-01-09,Unknown,25,25,0,<0.01,<0.01,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-09,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-09,Pfizer-BioNTech Comirnaty,2847,1994,853,0.55,0.38,0.16,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-09,Moderna Spikevax,38,38,0,0.02,0.02,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-09,Pfizer-BioNTech Comirnaty,2437,2437,0,1.48,1.48,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-09,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-09,Pfizer-BioNTech Comirnaty,2755,1679,1076,0.28,0.17,0.11,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-09,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-09,Not reported,6241,6241,0,0.79,0.79,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-09,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2021-01-09,Moderna Spikevax,20840,20840,,0.24,0.24,"",,,,,
24,Quebec,Québec,2021-01-09,Not reported,0,0,,0.00,0.00,"",,,,,
24,Quebec,Québec,2021-01-09,Pfizer-BioNTech Comirnaty,62416,62416,,0.73,0.73,"",,,,,
24,Quebec,Québec,2021-01-09,Unknown,22,22,,<0.01,<0.01,"",,,,,
46,Manitoba,Manitoba,2021-01-09,Moderna Spikevax,101,101,0,0.01,0.01,0.00,,,,,
46,Manitoba,Manitoba,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2021-01-09,Pfizer-BioNTech Comirnaty,8593,7713,880,0.62,0.56,0.06,,,,,
46,Manitoba,Manitoba,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-09,Moderna Spikevax,542,542,0,0.05,0.05,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-09,Pfizer-BioNTech Comirnaty,4974,4021,953,0.42,0.34,0.08,,,,,
47,Saskatchewan,Saskatchewan,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2021-01-09,Moderna Spikevax,12746,12746,0,0.29,0.29,0.00,,,,,
48,Alberta,Alberta,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2021-01-09,Pfizer-BioNTech Comirnaty,31552,30828,724,0.71,0.69,0.02,,,,,
48,Alberta,Alberta,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-09,Moderna Spikevax,11446,11446,0,0.22,0.22,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-09,Pfizer-BioNTech Comirnaty,48766,48731,35,0.94,0.93,<0.01,,,,,
59,British Columbia,Colombie-Britannique,2021-01-09,Unknown,3,3,0,<0.01,<0.01,0.00,,,,,
60,Yukon,Yukon,2021-01-09,Moderna Spikevax,495,495,0,1.15,1.15,0.00,,,,,
60,Yukon,Yukon,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2021-01-09,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-09,Moderna Spikevax,511,511,0,1.18,1.18,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-09,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-09,Moderna Spikevax,20,20,0,0.05,0.05,0.00,,,,,
62,Nunavut,Nunavut,2021-01-09,Not reported,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-09,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-09,Unknown,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2021-01-16,Moderna Spikevax,76759,76759,0,0.20,0.20,0.00,,,,,
1,Canada,Canada,2021-01-16,Not reported,197158,183736,13422,0.52,0.48,0.04,,,,,
1,Canada,Canada,2021-01-16,Pfizer-BioNTech Comirnaty,290926,277600,13326,0.76,0.73,0.03,,,,,
1,Canada,Canada,2021-01-16,Unknown,78,78,0,<0.01,<0.01,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-16,Moderna Spikevax,42,42,0,0.01,0.01,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-16,Pfizer-BioNTech Comirnaty,4208,2474,1734,0.81,0.48,0.33,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-16,Moderna Spikevax,1122,1122,0,0.68,0.68,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-16,Pfizer-BioNTech Comirnaty,3171,1784,1387,1.93,1.09,0.84,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-16,Moderna Spikevax,450,450,0,0.05,0.05,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-16,Pfizer-BioNTech Comirnaty,5290,3083,2207,0.53,0.31,0.22,,,,,
12,Nova Scotia,Nouvelle-Écosse,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-16,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-16,Not reported,7918,5353,2565,1.00,0.68,0.33,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-16,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
13,New Brunswick,Nouveau-Brunswick,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2021-01-16,Moderna Spikevax,31232,31232,,0.36,0.36,"",,,,,
24,Quebec,Québec,2021-01-16,Not reported,0,0,,0.00,0.00,"",,,,,
24,Quebec,Québec,2021-01-16,Pfizer-BioNTech Comirnaty,114478,114478,,1.33,1.33,"",,,,,
24,Quebec,Québec,2021-01-16,Unknown,73,73,,<0.01,<0.01,"",,,,,
35,Ontario,Ontario,2021-01-16,Moderna Spikevax,0,0,0,0.00,0.00,0.00,,,,,
35,Ontario,Ontario,2021-01-16,Not reported,189240,178383,10857,1.28,1.20,0.07,,,,,
35,Ontario,Ontario,2021-01-16,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
35,Ontario,Ontario,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2021-01-16,Moderna Spikevax,1317,1317,0,0.10,0.10,0.00,,,,,
46,Manitoba,Manitoba,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2021-01-16,Pfizer-BioNTech Comirnaty,15182,13038,2144,1.10,0.94,0.15,,,,,
46,Manitoba,Manitoba,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-16,Moderna Spikevax,3546,3546,0,0.30,0.30,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2021-01-16,Pfizer-BioNTech Comirnaty,10737,9005,1732,0.91,0.76,0.15,,,,,
47,Saskatchewan,Saskatchewan,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2021-01-16,Moderna Spikevax,17054,17054,0,0.38,0.38,0.00,,,,,
48,Alberta,Alberta,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
48,Alberta,Alberta,2021-01-16,Pfizer-BioNTech Comirnaty,64805,60730,4075,1.46,1.37,0.09,,,,,
48,Alberta,Alberta,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-16,Moderna Spikevax,16655,16655,0,0.32,0.32,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2021-01-16,Pfizer-BioNTech Comirnaty,73055,73008,47,1.40,1.40,<0.01,,,,,
59,British Columbia,Colombie-Britannique,2021-01-16,Unknown,5,5,0,<0.01,<0.01,0.00,,,,,
60,Yukon,Yukon,2021-01-16,Moderna Spikevax,1309,1309,0,3.05,3.05,0.00,,,,,
60,Yukon,Yukon,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2021-01-16,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-16,Moderna Spikevax,1891,1891,0,4.35,4.35,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-16,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-16,Moderna Spikevax,2141,2141,0,5.43,5.43,0.00,,,,,
62,Nunavut,Nunavut,2021-01-16,Not reported,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-16,Pfizer-BioNTech Comirnaty,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2021-01-16,Unknown,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2021-01-23,Moderna Spikevax,144224,143432,792,0.38,0.38,<0.01,,,,,
1,Canada,Canada,2021-01-23,Not reported,260648,226366,34282,0.68,0.59,0.09,,,,,
1,Canada,Canada,2021-01-23,Pfizer-BioNTech Comirnaty,370623,346403,24220,0.97,0.91,0.06,,,,,
1,Canada,Canada,2021-01-23,Unknown,7,7,0,<0.01,<0.01,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-23,Moderna Spikevax,1665,1665,0,0.32,0.32,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-23,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-23,Pfizer-BioNTech Comirnaty,5783,4046,1737,1.11,0.78,0.33,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-23,Unknown,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-23,Moderna Spikevax,1391,1391,0,0.85,0.85,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2021-01-23,Not reported,0,0,0,0.00,0.00,0.00,,,,,
