pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_partiallyrange,numtotal_fully,numtotal_fullyrange,prop_atleast1dose,prop_partially,prop_partiallyrange,prop_fully,prop_fullyrange,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,16-69,247,247,,0,,0.13,0.13,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,70-74,5,5,,0,,0.03,0.03,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,75-79,1,1,,0,,0.01,0.01,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,All ages,253,253,,0,,0.10,0.10,,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,16-69,1,1,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,All ages,1,1,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Not reported,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,16-69,705,705,,0,,0.20,0.20,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,70-74,6,6,,0,,0.02,0.02,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,75-79,1,1,,0,,0.00,0.00,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,All ages,712,712,,0,,0.14,0.14,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,16-69,375,375,,0,,0.11,0.11,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,70-74,3,3,,0,,0.01,0.01,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,75-79,2,2,,0,,0.01,0.01,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,All ages,380,380,,0,,0.08,0.08,,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,All ages,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,Not reported,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
24,Quebec,Québec,2020-12-19,f,16-69,3078,3078,,0,,0.10,0.10,,0.00,,,,,
24,Quebec,Québec,2020-12-19,f,70-74,26,26,,0,,0.01,0.01,,0.00,,,,,
24,Quebec,Québec,2020-12-19,f,75-79,36,36,,0,,0.02,0.02,,0.00,,,,,
24,Quebec,Québec,2020-12-19,f,80+,241,241,,0,,0.10,0.10,,0.00,,,,,
24,Quebec,Québec,2020-12-19,f,All ages,3381,3381,,0,,0.08,0.08,,0.00,,,,,
24,Quebec,Québec,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
24,Quebec,Québec,2020-12-19,m,16-69,1200,1200,,0,,0.04,0.04,,0.00,,,,,
24,Quebec,Québec,2020-12-19,m,70-74,29,29,,0,,0.01,0.01,,0.00,,,,,
24,Quebec,Québec,2020-12-19,m,75-79,18,18,,0,,0.01,0.01,,0.00,,,,,
24,Quebec,Québec,2020-12-19,m,80+,93,93,,0,,0.06,0.06,,0.00,,,,,
24,Quebec,Québec,2020-12-19,m,All ages,1340,1340,,0,,0.03,0.03,,0.00,,,,,
24,Quebec,Québec,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,16-69,7,7,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,All ages,7,7,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,Not reported,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,f,16-69,543,543,,0,,0.12,0.12,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,f,70-74,28,28,,0,,0.09,0.09,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,f,75-79,5,5,,0,,0.02,0.02,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,f,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,f,All ages,576,576,,0,,0.08,0.08,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,m,16-69,277,277,,0,,0.06,0.06,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,m,70-74,29,29,,0,,0.11,0.11,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,m,75-79,12,12,,0,,0.07,0.07,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,m,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,m,All ages,318,318,,0,,0.05,0.05,,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,All ages,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,Not reported,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,16-69,833,833,,0,,0.21,0.21,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,70-74,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,75-79,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,All ages,833,833,,0,,0.14,0.14,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,16-69,209,209,,0,,0.05,0.05,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,70-74,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,75-79,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,All ages,209,209,,0,,0.04,0.04,,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,All ages,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,Not reported,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,16-69,2727,2727,,0,,0.15,0.15,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,70-74,32,32,,0,,0.02,0.02,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,75-79,5,5,,0,,0.01,0.01,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,All ages,2764,2764,,0,,0.11,0.11,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,16-69,850,850,,0,,0.05,0.05,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,70-74,14,14,,0,,0.01,0.01,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,75-79,5,5,,0,,0.01,0.01,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,80+,1,1,,0,,0.00,0.00,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,All ages,870,870,,0,,0.03,0.03,,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,All ages,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,Not reported,0,0,,0,,na,na,,na,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,f,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,f,16-69,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,f,70-74,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,f,75-79,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,f,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,f,All ages,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,f,Not reported,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,m,0-15,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,m,16-69,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,m,70-74,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,m,75-79,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,m,80+,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,m,All ages,0,0,,0,,0.00,0.00,,0.00,,,,,
60,Yukon,Yukon,2020-12-19,m,Not reported,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,0-15,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,16-69,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,70-74,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,75-79,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,80+,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,All ages,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,Not reported,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,Unknown,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,All ages,0,0,,0,,na,na,,na,,,,,
